n,m,rho_tor,omega_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
1,11.0,0.9394149862513317,0.0,0.0,5.638462893540312,0.5545245959200669,12.261763543973196,12.579392940873522,0.9824279281604251,35.190181350877644,3.051762835720239,1.1746642259579017,0.023276024703441846,0.004019797890816334,0.045818262425996376,1,-1.308237163474405,10.842920099504687
2,23.0,0.9477400834992453,0.0,0.0,11.149653540163664,1.0965323778385163,24.858947086522395,25.080797596038217,1.9917301287762639,19.60554146092026,3.051762835720239,1.2295712594991983,0.021011032138314192,0.002924336221494371,0.08710192382058705,1,0.6541185817372025,10.842920099504687
3,34.0,0.9449650510832741,0.0,0.0,16.961198709866046,1.6680790560284966,37.44324604126355,37.95673087901153,3.0,12.571863434407273,3.051762835720239,1.2075825348053633,0.02129145942994689,0.0032690064835458857,0.1330525018746283,1,0.0,10.842920099504687
4,45.0,0.9435775348752885,0.0,0.0,22.672314484851707,2.229748827945388,49.83050050941192,50.64922146176848,3.992482418951919,9.257401329630973,3.051762835720239,1.1978567976686147,0.02161069088244811,0.0034495816972585666,0.17894788905160353,1,-0.32705929086860125,10.842920099504687
5,57.0,0.9463525672912597,0.0,0.0,28.113726028158815,2.764894060654826,62.36177631744838,63.06118659295927,4.996504008925179,7.688409819061324,3.051762835720239,1.2181967717472448,0.02109382184078585,0.0030937967018704647,0.2197739684894589,1,0.32705929086860125,10.842920099504687
6,68.0,0.9449650510832741,0.0,0.0,33.92239741973209,3.336158112056993,74.8864920825271,75.91346175802306,6.0,6.285931717203637,3.051762835720239,1.2075825348053633,0.02129145942994689,0.0032690064835458857,0.2661050037492566,1,0.0,10.842920099504687
7,79.0,0.9442712929792814,0.0,0.0,39.641236570656815,3.89858745302712,87.31379041841667,88.62731827904074,6.995690784035737,5.3382393821069885,3.051762835720239,1.2026000693189265,0.021435109038817568,0.0033586490537125193,0.3118168868103471,1,-0.16352964543428752,10.842920099504687
8,91.0,0.9456588091872669,0.0,0.0,45.122197918492404,4.437622281143845,99.84575054759442,101.08764251841896,7.999767202680143,4.75920331814961,3.051762835720239,1.2127856166925481,0.021178155589806364,0.003180706048630567,0.3532313737858452,1,0.16352964543428752,10.842920099504687
9,102.0,0.9449650510832741,0.0,0.0,50.88359612959814,5.00423716808549,112.32973812379065,113.87019263703458,9.0,4.190621144802423,3.051762835720239,1.2075825348053633,0.02129145942994689,0.0032690064835458857,0.39915750562388513,1,0.0,10.842920099504687
10,113.0,0.9442712929792814,0.0,0.0,56.63033795808117,5.5694106471816,124.73398631202383,126.61045468434392,9.993843977193912,3.736767567474892,3.051762835720239,1.2026000693189265,0.021435109038817568,0.0033586490537125193,0.445452695443353,1,-0.16352964543428752,10.842920099504687
11,125.0,0.9456588091872669,0.0,0.0,62.04302213792705,6.101730636572786,137.28790700294232,138.99550846282605,10.999679903685196,3.4612387768360797,3.051762835720239,1.2127856166925481,0.021178155589806364,0.003180706048630567,0.4856931389555373,1,0.16352964543428752,10.842920099504687
12,136.0,0.9449650510832741,0.0,0.0,67.84479483946419,6.672316224113986,149.7729841650542,151.82692351604612,12.0,3.1429658586018183,3.051762835720239,1.2075825348053633,0.02129145942994689,0.0032690064835458857,0.5322100074985132,1,0.0,10.842920099504687
